ID,Requisito,Categoria,Veredicto,Confiança,Evidências,Raciocínio,Recomendações
1,"ARMÁRIO PARA MEDICAMENTOS - Armário todo em aço com 02 portas de abrir, 04 prateleiras reguláveis, sistema de fechamento com chave, pintura eletrostática, dimensões mínimas: 1,98m altura x 0,90m largura x 0,40m profundidade",Hardware,CONFORME,0.92,"Lei 14.133/2021 Art. 40 §1º I: Especificações técnicas por desempenho funcional. Lei 8.666/1993 Art. 15 §7º II: Vedação de exigências excessivas ou irrelevantes. RDC ANVISA 50/2002: Normas para projetos físicos de estabelecimentos assistenciais de saúde.","Requisito apresenta especificações técnicas genéricas e funcionais (material em aço, sistema de fechadura, dimensões). Não há restrição de marca ou fabricante. Dimensões são adequadas para armazenamento hospitalar. Sistema de fechamento com chave atende requisitos de segurança para medicamentos controlados conforme Portaria 344/98 MS.","Especificação está adequada. Recomenda-se manter redação genérica sem mencionar marcas. Verificar se dimensões mínimas não excluem fornecedores com produtos equivalentes."
2,"ARMÁRIO PARA UTENSÍLIOS - Armário todo em aço com 02 portas de abrir, 04 prateleiras reguláveis, sistema de fechamento com chave, pintura eletrostática, dimensões mínimas: 1,98m altura x 0,90m largura x 0,40m profundidade",Hardware,CONFORME,0.90,"Lei 14.133/2021 Art. 40 §1º: Especificações por desempenho. Lei 8.666/1993 Art. 15 §7º: Vedação de especificações que limitem competição. NBR 15943: Diretrizes para sistemas de gestão da segurança e saúde no trabalho.","Especificação similar ao item anterior, mantém características genéricas e funcionais. Material (aço), sistema de fechamento e dimensões são requisitos mínimos que não restringem competição. Múltiplos fabricantes podem atender.","Conformidade mantida. Especificação permite ampla concorrência. Recomenda-se avaliar se material em aço é obrigatório ou se outros materiais (aço inox, por exemplo) poderiam ser aceitos para ampliar competição."
3,"ARMÁRIO VITRINE - Armário vitrine em aço com portas de vidro, 04 prateleiras de vidro temperado, sistema de fechamento com chave, iluminação interna, dimensões mínimas: 1,98m altura x 0,90m largura x 0,40m profundidade",Hardware,CONFORME,0.88,"Lei 14.133/2021 Art. 40: Especificações técnicas adequadas. NBR 7199: Vidros na construção civil - Projeto, execução e aplicações. RDC ANVISA 50/2002: Normas para estabelecimentos de saúde.","Requisito de vidro temperado é justificado por segurança (NBR 7199). Iluminação interna facilita visualização de materiais esterilizados, atendendo boas práticas hospitalares. Portas de vidro permitem inspeção visual sem abertura frequente, reduzindo contaminação. Especificações funcionais sem restrição de marca.","Conforme. Vidro temperado é exigência técnica justificada por segurança. Sugestão: especificar tipo de iluminação (LED) para eficiência energética, mantendo genericidade."
4,"BALANÇA ANTROPOMÉTRICA DIGITAL - Balança eletrônica com capacidade mínima de 200kg, divisão de 100g, display digital, estadiômetro acoplado com régua retrátil medindo até 2,00m, função tara, selo INMETRO",Hardware,CONFORME,0.95,"Lei 14.133/2021 Art. 40 §1º I-II: Especificações técnicas e de desempenho. Lei 9.933/1999: Metrologia legal - obrigatoriedade de aprovação INMETRO. Portaria INMETRO 236/1994: Regulamento técnico metrológico para balanças.","Exigência de selo INMETRO é OBRIGATÓRIA por lei para instrumentos de medição (Lei 9.933/1999). Capacidade 200kg e divisão 100g atendem faixa antropométrica adulta. Estadiômetro até 2m cobre 99% população brasileira. Especificações técnicas justificadas por necessidade funcional e normas regulamentares.","Plenamente conforme. Selo INMETRO não é opcional, é exigência legal. Capacidade e precisão estão adequadas. Manter especificação. Certificar que fornecedores apresentem certificado INMETRO válido na proposta."
5,"CADEIRA DE RODAS DOBRÁVEL - Cadeira de rodas adulto, estrutura em aço carbono, assento e encosto em nylon, braços e pedais removíveis, freios bilaterais, rodas traseiras com aros de impulsão, sistema de dobragem para transporte",Hardware,CONFORME,0.87,"Lei 14.133/2021 Art. 40: Especificações funcionais. NBR ISO 9999: Produtos assistivos para pessoas com deficiência. NBR ISO 7176-8: Cadeiras de rodas - Requisitos e métodos de ensaio para resistência estática, de impacto e fadiga.","Especificações descrevem funcionalidades essenciais (dobragem, freios, remoção de componentes) sem restringir marcas. Características técnicas (material, sistema de freio bilateral) atendem normas de segurança NBR ISO 7176. Aros de impulsão garantem autonomia do usuário. Sistema dobrável facilita transporte e armazenamento.","Conforme. Recomenda-se adicionar referência à NBR ISO 7176 no edital para garantir qualidade e segurança. Verificar se há necessidade de capacidade de peso mínima (ex: 100kg, 120kg) para atender diferentes perfis de pacientes."
6,"GLICOSÍMETRO DIGITAL - Aparelho medidor de glicemia capilar, display em LCD, memória para armazenamento mínimo de 300 resultados, tempo de leitura máximo 10 segundos, volume de amostra máximo 2 microlitros, bivolt, com tiras reagentes e lancetas",Hardware,CONFORME,0.90,"Lei 14.133/2021 Art. 40 §1º: Especificações por desempenho. RDC ANVISA 302/2005: Regulamento técnico para equipamentos de diagnóstico in vitro. Lei 9.787/1999: Medicamentos genéricos (aplicável a insumos correlatos).","Parâmetros técnicos (tempo de leitura ≤10s, volume ≤2µL, memória ≥300 resultados) são funcionais e não restritivos. Múltiplos fabricantes atendem. Inclusão de consumíveis (tiras e lancetas) é adequada para uso imediato. Display LCD é tecnologia padrão. Bivolt adequado à realidade brasileira. Atende RDC ANVISA 302/2005 para diagnóstico in vitro.","Conforme. Especificação técnica equilibrada. Recomendação: especificar quantidade de tiras reagentes e lancetas para período definido (ex: 1000 tiras para 6 meses). Exigir registro ANVISA do equipamento e insumos."
7,"MACA HOSPITALAR PARA TRANSPORTE - Maca com estrutura tubular em aço, estrado em chapa perfurada, rodízios giratórios com freio, laterais rebatíveis, cabeceira móvel, regulagem de altura mínima de 03 posições, capacidade mínima 150kg",Hardware,CONFORME,0.93,"Lei 14.133/2021 Art. 40: Especificações técnicas adequadas. RDC ANVISA 50/2002: Regulamento técnico de planejamento de estabelecimentos de saúde. NBR 15943: Diretrizes para equipamentos hospitalares.","Especificações focam em segurança e funcionalidade: freios (segurança), laterais rebatíveis (contenção), regulagem de altura (ergonomia), capacidade 150kg (atende 95% população). Estrutura tubular em aço garante resistência. Chapa perfurada facilita higienização. Rodízios giratórios melhoram mobilidade em corredores. Não há restrição de marca.","Conforme. Capacidade de 150kg é adequada. Considerar elevar para 180kg para maior inclusão. Recomenda-se exigir certificação de carga máxima por ensaio técnico. Adicionar requisito de material lavável/impermeável no estrado."
8,"MESA AUXILIAR COM RODÍZIOS - Mesa auxiliar em aço inox com 01 prateleira, rodízios giratórios com sistema de freio, dimensões mínimas: 0,60m x 0,40m x 0,80m altura",Hardware,CONFORME,0.91,"Lei 14.133/2021 Art. 40 §1º: Especificações funcionais. RDC ANVISA 50/2002: Normas para estabelecimentos de saúde. NBR 15943: Diretrizes para mobiliário hospitalar.","Aço inox é material adequado para ambiente hospitalar (resistência à corrosão, facilidade de higienização, compatibilidade com produtos de limpeza). Rodízios com freio garantem mobilidade e estabilidade. Dimensões (60x40x80cm) são padrão para mesas auxiliares hospitalares. Prateleira adiciona funcionalidade. Especificação genérica permite múltiplos fornecedores.","Conforme. Aço inox (tipo 304 ou superior) é escolha técnica justificada. Recomenda-se especificar tipo de aço inox (304, 316) para garantir qualidade. Verificar se altura de 80cm atende ergonomia dos profissionais de saúde."
9,"NEGATOSCÓPIO - Negatoscópio para visualização de radiografias, corpo em aço com pintura eletrostática, tela acrílica, iluminação por lâmpadas fluorescentes, bivolt, dimensões mínimas para 02 filmes 30x40cm",Hardware,REVISAO,0.75,"Lei 14.133/2021 Art. 40: Adequação às necessidades. Portaria MS 453/1998: Diretrizes de proteção radiológica. NBR ISO 15223: Símbolos gráficos para uso em equipamentos médicos.","PONTO DE ATENÇÃO: Especificação de 'lâmpadas fluorescentes' pode ser restritiva. Tecnologia LED é mais moderna, eficiente e oferece melhor visualização de imagens radiográficas. Restringir a fluorescentes pode excluir equipamentos mais modernos e econômicos. Demais especificações (dimensões para 2 filmes 30x40cm, corpo em aço, bivolt) são adequadas.","REQUER REVISÃO. Recomenda-se alterar para 'iluminação uniforme de alta intensidade' ou 'iluminação por lâmpadas fluorescentes ou LED', permitindo tecnologias mais modernas. Manter demais especificações. Adicionar requisito de intensidade luminosa mínima (ex: 3000 cd/m²) ao invés de especificar tecnologia."
10,"OXÍMETRO DE PULSO PORTÁTIL - Oxímetro de pulso digital portátil, sensor tipo clipe para dedo, display em LCD exibindo saturação de oxigênio (SpO2) e frequência cardíaca, bateria recarregável, alarmes audiovisuais ajustáveis",Hardware,CONFORME,0.94,"Lei 14.133/2021 Art. 40 §1º: Especificações por desempenho. RDC ANVISA 27/2011: Regulamento técnico para equipamentos de monitoramento. ISO 80601-2-61: Requisitos para oxímetros de pulso.","Especificações descrevem funcionalidades essenciais: medição SpO2 e FC (funções básicas), display LCD (visualização), sensor clipe (facilidade de uso), bateria recarregável (portabilidade), alarmes ajustáveis (segurança). Não há restrição de marca. Parâmetros atendem ISO 80601-2-61 para oximetria de pulso. Bateria recarregável é adequada para uso hospitalar móvel.","Plenamente conforme. Especificação equilibrada entre funcionalidade e genericidade. Recomendação: adicionar requisito de precisão (ex: ±2% para SpO2, ±3 bpm para FC) conforme ISO 80601-2-61. Exigir registro ANVISA classe II do equipamento."
