ID,Requisito,Categoria,Criticidade,Obrigatoriedade,Quantidade,Observacoes
1,"Sistema de videomonitoramento baseado em tecnologia IP com alimentação elétrica (PoE)",Sistema,ALTA,OBRIGATORIO,N/A,"Página 51 - Requisito fundamental da arquitetura"
2,"VMS compatível com monitores Samsung modelo UD55E-B",Software,ALTA,OBRIGATORIO,N/A,"Página 52 - 2.1.1.1 - Compatibilidade com hardware específico"
3,"VMS em conformidade com norma ONVIF para clientes de vídeo de rede",Software,ALTA,OBRIGATORIO,N/A,"Página 52 - 2.1.1.2 - Padrão de interoperabilidade"
4,"VMS deve suportar compactação H.264, MPEG-4 e MJPEG",Software,ALTA,OBRIGATORIO,N/A,"Página 52 - 2.1.1.3 - Codecs de vídeo"
5,"Câmeras com gravação em resolução mínima 720p até Full HD (1080p) a 15 fps",Hardware,ALTA,OBRIGATORIO,758,"Página 51 - Todas as câmeras do sistema"
6,"Gravação baseada em eventos (movimentação de imagem)",Software,MEDIA,OBRIGATORIO,N/A,"Página 51 - Otimização de armazenamento"
7,"Centro de Controle Operacional (CCO) com funcionamento 24x7",Infraestrutura,CRITICA,OBRIGATORIO,1,"Página 50 - Ambiente central de monitoramento"
8,"CCO com sistema de energia estabilizada e no-break",Infraestrutura,CRITICA,OBRIGATORIO,1,"Página 50 - Garantia de continuidade operacional"
9,"CCO com temperatura controlada por ar-condicionado",Infraestrutura,MEDIA,OBRIGATORIO,1,"Página 50 - Proteção de equipamentos"
10,"Monitoramento interior com servidor local de armazenamento de 7 dias",Hardware,ALTA,OBRIGATORIO,25,"Página 50 - 1.1 - Varas do interior"
11,"Integração do monitoramento interior ao CCO via federação/clusterização",Software,ALTA,OBRIGATORIO,N/A,"Página 50 - 1.1 - Arquitetura distribuída"
12,"Software de monitoramento/gerenciamento central com 50 licenças de câmeras",Software,CRITICA,OBRIGATORIO,6,"Página 2 - Item 1 do edital"
13,"Licenças adicionais de câmera para VMS",Software,ALTA,OBRIGATORIO,758,"Página 2 - Item 2 - Total de câmeras"
14,"Joystick para controle de câmeras PTZ",Hardware,MEDIA,OBRIGATORIO,8,"Página 2 - Item 3"
15,"Câmera PTZ externa (Tipo 1)",Hardware,ALTA,OBRIGATORIO,10,"Página 2 - Item 4 - Câmeras móveis"
16,"Câmera Bullet interna/externa lente variável (Tipo 2)",Hardware,ALTA,OBRIGATORIO,200,"Página 2 - Item 5"
17,"Câmera Dome lente varifocal (Tipo 3)",Hardware,ALTA,OBRIGATORIO,148,"Página 2 - Item 6"
18,"Câmera fixa varifocal para reconhecimento facial (Tipo 4)",Hardware,ALTA,OBRIGATORIO,96,"Página 2 - Item 7 - Biometria"
19,"Câmera Dome interna baixo custo (Tipo 5)",Hardware,MEDIA,OBRIGATORIO,246,"Página 2 - Item 8"
20,"Câmera fixa varifocal para reconhecimento de placas (Tipo 6)",Hardware,ALTA,OBRIGATORIO,24,"Página 2 - Item 9 - LPR"
21,"Servidor storage com software VMS",Hardware,CRITICA,OBRIGATORIO,60,"Página 2 - Item 10 - Armazenamento"
22,"Módulo Multi I/O para integração de sensores",Hardware,MEDIA,OBRIGATORIO,66,"Página 2 - Item 11"
23,"Sensores IVA (pares) para análise inteligente de vídeo",Hardware,MEDIA,DESEJAVEL,258,"Página 2 - Item 12"
24,"Sensores de presença",Hardware,MEDIA,DESEJAVEL,196,"Página 2 - Item 13"
25,"Sirene para alarmes",Hardware,MEDIA,DESEJAVEL,66,"Página 2 - Item 14"
26,"Software para sistema de controle de acesso",Software,ALTA,OBRIGATORIO,10,"Página 2 - Item 15"
27,"Cancela com totem para RFID e biometria com instalação",Hardware,ALTA,OBRIGATORIO,6,"Página 3 - Item 16"
28,"Catraca tipo balcão com RFID e biometria com instalação",Hardware,ALTA,OBRIGATORIO,6,"Página 3 - Item 17"
29,"Chip adesivo de RFID",Hardware,MEDIA,OBRIGATORIO,6000,"Página 3 - Item 18"
30,"Software para reconhecimento facial",Software,ALTA,OBRIGATORIO,22,"Página 31 - Item 21"
31,"Software para reconhecimento de placas veiculares (LPR)",Software,ALTA,OBRIGATORIO,10,"Página 31 - Item 22"
32,"Monitoramento de áreas internas: entrada principal, corredores, áreas técnicas",Sistema,ALTA,OBRIGATORIO,N/A,"Página 51 - Requisito de cobertura"
33,"Monitoramento de áreas externas: perímetro e fachada",Sistema,ALTA,OBRIGATORIO,N/A,"Página 51 - Requisito de cobertura"
34,"Câmeras fixadas em teto/parede (internas) e paredes/muros/postes (externas)",Instalação,MEDIA,OBRIGATORIO,N/A,"Página 51 - Posicionamento adequado"
35,"Projeto executivo a ser elaborado pela contratada",Serviço,CRITICA,OBRIGATORIO,52,"Página 31 - Itens 31-33"
36,"Prazo de 10 dias úteis para entrega do projeto executivo",Serviço,ALTA,OBRIGATORIO,N/A,"Página 33 - 5.5.1"
37,"Projeto executivo com ART (Anotação de Responsabilidade Técnica)",Serviço,ALTA,OBRIGATORIO,N/A,"Página 33 - 5.5.4.1"
38,"Prazo de 30 dias úteis para entrega e instalação após aprovação do projeto",Serviço,ALTA,OBRIGATORIO,N/A,"Página 33 - 5.6"
39,"Entrega de projeto As-Built como requisito para recebimento provisório",Serviço,CRITICA,OBRIGATORIO,N/A,"Página 33 - 5.8"
40,"Serviço de instalação de infraestrutura (básico, intermediário e avançado)",Serviço,ALTA,OBRIGATORIO,110,"Página 31 - Itens 34-36"
41,"Configuração de site remoto e central",Serviço,ALTA,OBRIGATORIO,N/A,"Página 31 - Itens 37-39"
42,"Treinamento de operadores",Serviço,MEDIA,OBRIGATORIO,6,"Página 31 - Item 40"
43,"Treinamento de administradores",Serviço,ALTA,OBRIGATORIO,6,"Página 31 - Item 41"
44,"Cabo categoria CM 6 U/UTP",Material,MEDIA,OBRIGATORIO,33188,"Página 31 - Item 28 - Metros"
45,"Patch Panel Gigabit Cat.6 24 posições",Material,MEDIA,OBRIGATORIO,78,"Página 31 - Item 26"
46,"Patch Cord U/UTP Cat.6 1.5m",Material,MEDIA,OBRIGATORIO,666,"Página 31 - Item 27"
47,"Conector fêmea RJ45 Cat.6",Material,MEDIA,OBRIGATORIO,1352,"Página 31 - Item 29"
48,"Conector RJ45 macho Cat.6",Material,MEDIA,OBRIGATORIO,1612,"Página 31 - Item 30"
49,"Todas as licenças necessárias entregues com validade mínima do período de garantia",Software,CRITICA,OBRIGATORIO,N/A,"Página 33 - 5.13"
50,"Documentos de projetos executivos e as-built em formato CAD, VISIO ou MSProject",Documentação,ALTA,OBRIGATORIO,N/A,"Página 33 - 5.14"
